bw_method,kernel,p_order,year,spec,coef,se,p_value,n_treat,n_control,bw_left,bw_right,slope_coef,elevation_coef,pc_black_coef
mserd,triangular,1,1900,1,-0.012207088638594321,0.10545401184796596,0.9078447651912684,303,292,96.35496479312445,96.35496479312445,NA,NA,NA
msetwo,triangular,1,1900,1,-0.09409503007584696,0.08828901780114345,0.2865314993682005,528,328,108.4897804569782,176.50889925809884,NA,NA,NA
msesum,triangular,1,1900,1,-0.01945982079093067,0.08866253078571541,0.8262746771959003,431,401,143.62397356545307,143.62397356545307,NA,NA,NA
cerrd,triangular,1,1900,1,0.002339259962972129,0.12722539307790226,0.9853303322393265,223,203,64.98212372501692,64.98212372501692,NA,NA,NA
certwo,triangular,1,1900,1,-0.037033669284338266,0.1029161926068161,0.7189645608847253,367,228,73.16588565717929,119.03821619137551,NA,NA,NA
cersum,triangular,1,1900,1,-0.02354408778627537,0.10521421769236948,0.8229340388415483,307,294,96.86050781240905,96.86050781240905,NA,NA,NA
mserd,uniform,1,1900,1,-0.02931276632427604,0.10344848573069412,0.7769038261814523,261,250,78.83571113448787,78.83571113448787,NA,NA,NA
msetwo,uniform,1,1900,1,-0.18530013957307467,0.07964570031869637,0.019988937028273326,419,415,150.9025544929108,138.99642412110748,NA,NA,NA
msesum,uniform,1,1900,1,0.017131674695162857,0.09359041405992598,0.8547592112158275,330,317,104.05439162349381,104.05439162349381,NA,NA,NA
cerrd,uniform,1,1900,1,-0.0030200424684947436,0.12312039424817771,0.9804305074266582,192,179,53.16707806276462,53.16707806276462,NA,NA,NA
certwo,uniform,1,1900,1,-0.020113653347397786,0.09779557773928205,0.8370483995346222,298,310,101.76920813092505,93.73967235591003,NA,NA,NA
cersum,uniform,1,1900,1,-0.09076591076002494,0.11204536254932534,0.4178931545966178,236,221,70.17464398566962,70.17464398566962,NA,NA,NA
mserd,epanechnikov,1,1900,1,-0.03032026615030592,0.10707922800566605,0.7770562514178598,283,269,86.389027860799,86.389027860799,NA,NA,NA
msetwo,epanechnikov,1,1900,1,-0.10147041697753245,0.08754267187793735,0.24641679463985963,497,333,111.46269288833503,165.36583279332785,NA,NA,NA
msesum,epanechnikov,1,1900,1,0.005949543680856095,0.08943096605994325,0.9469585312554427,405,382,132.58305946868268,132.58305946868268,NA,NA,NA
cerrd,epanechnikov,1,1900,1,0.006009478688581815,0.12771861820337088,0.9624713948328768,205,188,58.2610611605449,58.2610611605449,NA,NA,NA
certwo,epanechnikov,1,1900,1,-0.0497961464405039,0.10141144877817948,0.6234046522789937,349,232,75.17082815135012,111.52329337193919,NA,NA,NA
cersum,epanechnikov,1,1900,1,-0.03495618009428547,0.10532876761162163,0.739982248157109,290,273,89.41447690560504,89.41447690560504,NA,NA,NA
mserd,triangular,2,1900,1,0.011872656334865894,0.10127986055225303,0.9066807808424123,663,582,234.40340370497597,234.40340370497597,NA,NA,NA
msetwo,triangular,2,1900,1,0.00528995128810017,0.0999095365138038,0.9577738088692396,691,584,235.61254880024993,246.11204455413838,NA,NA,NA
msesum,triangular,2,1900,1,-0.015076660547705956,0.0947310701279123,0.8735489432636154,745,653,272.63805806389894,272.63805806389894,NA,NA,NA
cerrd,triangular,2,1900,1,0.026735212871399128,0.12438024257006942,0.8298083090860549,449,410,149.4320275852887,149.4320275852887,NA,NA,NA
certwo,triangular,2,1900,1,0.03695980466512516,0.12173377791435737,0.761423702980159,475,414,150.20285684960692,156.89627901979605,NA,NA,NA
cersum,triangular,2,1900,1,0.06416556828418685,0.11593341922588989,0.5799422155920462,519,460,173.80659653168354,173.80659653168354,NA,NA,NA
mserd,uniform,2,1900,1,-0.07076836768420591,0.09608130362687133,0.4613980546035192,642,567,224.00448641039958,224.00448641039958,NA,NA,NA
msetwo,uniform,2,1900,1,-0.07692918692822914,0.08956996591773964,0.39041082366982965,848,534,209.30331778742018,327.4684083389146,NA,NA,NA
msesum,uniform,2,1900,1,-0.06988553668236008,0.09538863416294217,0.46377797816216715,650,574,229.08973355138474,229.08973355138474,NA,NA,NA
cerrd,uniform,2,1900,1,0.07724723395483579,0.11873155821047895,0.5153021081369134,430,401,142.80272412186255,142.80272412186255,NA,NA,NA
certwo,uniform,2,1900,1,-0.050409733997074824,0.10780630543230046,0.6400739452404651,605,384,133.43073804793167,208.7609115514413,NA,NA,NA
cersum,uniform,2,1900,1,0.09265101151381927,0.1178430800738483,0.43173649801906383,437,406,146.04456608763078,146.04456608763078,NA,NA,NA
mserd,epanechnikov,2,1900,1,0.003956100135145135,0.10007415374603176,0.9684664905824787,650,574,228.82880552343434,228.82880552343434,NA,NA,NA
msetwo,epanechnikov,2,1900,1,-0.023734963555694932,0.09772182824541423,0.8080960928441531,715,569,225.3530577450456,258.1150546356684,NA,NA,NA
msesum,epanechnikov,2,1900,1,-0.031122835295967377,0.09424200181004985,0.7412157659575689,721,636,261.95855108957124,261.95855108957124,NA,NA,NA
cerrd,epanechnikov,2,1900,1,0.02422555300551288,0.12249047008712313,0.8432211050979854,437,406,145.87822462818878,145.87822462818878,NA,NA,NA
certwo,epanechnikov,2,1900,1,0.042389746064461775,0.11745174535350072,0.7181652215516836,495,401,143.66243752915244,164.54819066126348,NA,NA,NA
cersum,epanechnikov,2,1900,1,0.07257270650608838,0.11541658389012444,0.5294870427949162,504,445,166.9984173177264,166.9984173177264,NA,NA,NA
mserd,triangular,1,1900,2,0.058007876698847514,0.10028276590635778,0.562964984210821,298,285,93.53439870502459,93.53439870502459,-0.06935216385644444,5.559418676890093e-4,NA
msetwo,triangular,1,1900,2,-0.006355847716692899,0.083073910548009,0.9390146721375353,544,308,101.4550669537739,182.43594910570326,-0.07454845377137423,7.538687683304745e-4,NA
msesum,triangular,1,1900,2,0.0924856136638549,0.08479980118377393,0.2754336132341983,416,394,137.8458040003187,137.8458040003187,-0.06788071973190438,3.935315331491244e-4,NA
cerrd,triangular,1,1900,2,0.07020214902037285,0.12105119166090356,0.5619566348190191,216,196,63.09789823242582,63.09789823242582,-0.06594443722536657,5.66091189870641e-4,NA
certwo,triangular,1,1900,2,0.020903851031165894,0.09658446352824705,0.8286519737669714,377,217,68.44114655616303,123.07049716447584,-0.07263296501104433,7.214751238370047e-4,NA
cersum,triangular,1,1900,2,0.054515932950065314,0.10054515315031884,0.5876783312792107,298,283,92.99017936715286,92.99017936715286,-0.06934293876701271,5.574193959708422e-4,NA
mserd,uniform,1,1900,2,0.015341422112031766,0.11766963391133722,0.8962681071215861,208,194,59.95277751048799,59.95277751048799,-0.07074274783501634,4.910175327062342e-4,NA
msetwo,uniform,1,1900,2,0.004775611762946528,0.08771757184353271,0.9565821842673341,408,225,71.929450719249175,134.64127284181285,-0.0786737611645197,0.0010377032369456802,NA
msesum,uniform,1,1900,2,0.09250023866535938,0.09254065383093879,0.31752190516647244,314,299,98.87925451419163,98.87925451419163,-0.06705319221454992,2.4718561788498973e-4,NA
cerrd,uniform,1,1900,2,0.06415064247181304,0.13765396714993827,0.6411952533507184,148,137,40.44388274775775,40.44388274775775,-0.06594332706368028,6.021906713445419e-4,NA
certwo,uniform,1,1900,2,0.022917872304226924,0.10220945554142516,0.822582557802,293,159,48.52329436265102,90.82841659622078,-0.07463272319727698,7.439359797523197e-4,NA
cersum,uniform,1,1900,2,-0.015795680179631018,0.106679448855256,0.8822900831886936,229,214,66.70351469634709,66.70351469634709,-0.07278984672600002,5.835347310111838e-4,NA
mserd,epanechnikov,1,1900,2,0.04058044677577167,0.10084616258269309,0.6873900279033576,279,264,85.49625307372568,85.49625307372568,-0.070354875622165,5.651322538583355e-4,NA
msetwo,epanechnikov,1,1900,2,-0.019419215956362177,0.08364825913489041,0.8164189800276138,512,285,93.88348113245638,170.16956753616992,-0.07636092761177682,8.328928459002403e-4,NA
